original_name,employer_alt_name,search_term,outsourcing,top_outsourcing,employee_count,in_market_cap_data,employer,tech,notes
Walmart,,wal-?\s?mart,0,0,2100000,1,Walmart,,
Amazon,,amazon,0,0,1500000,1,Amazon,,
Accenture,,accenture,1,1,733000,1,Accenture,,
Tata Consultancy Services,,tata,1,1,614795,1,Tata Consultancy Services,,
Home Depot,,home depot,0,0,470000,1,Home Depot,,
UnitedHealth,,united health,0,0,400000,1,UnitedHealth,,
Berkshire Hathaway,,berkshire hathaway,0,0,383000,1,Berkshire Hathaway,,
Toyota,,toyota,0,0,377369,1,Toyota,,
Cognizant Technology Solutions,,cognizant,1,1,346600,1,Cognizant Technology Solutions,,
Capgemini,,capgemini,1,1,340400,1,Capgemini,,
NTT (Nippon Telegraph & Telephone),NTT,\bntt\b,1,1,338651,1,NTT (Nippon Telegraph & Telephone),,
Infosys,,infosys,1,1,328764,1,Infosys,,
Costco,,costco,0,0,316000,1,Costco,,
Pepsico,,pepsi,0,0,315000,1,Pepsico,,
JPMorgan Chase,,jpmorgan chase,0,0,308669,1,JPMorgan Chase,,
IBM,,\bibm\b,1,1,288300,1,IBM,,
Nestlé,,nestle,0,0,275000,1,Nestlé,,
Wipro,,wipro,1,1,250000,1,Wipro,,
Citibank,,citibank,0,0,240000,0,Citibank,,
Reliance Industries,,reliance industries,0,0,236334,1,Reliance Industries,,
Microsoft,,microsoft,0,0,221000,1,Microsoft,,
HCL Technologies,,hcl,1,1,219325,1,HCL Technologies,,
Bank of America,,bank of america,0,0,213000,1,Bank of America,,
LVMH,,lvmh,0,0,192287,1,LVMH,,
Comcast,,comcast,0,0,186000,1,Comcast,,
Alphabet (Google),Google,google,0,0,182381,1,Alphabet (Google),,
Ford,,ford motor co,0,0,173000,1,Ford,,
Oracle,,^oracle,0,0,164000,1,Oracle,,
Apple,,^apple inc,0,0,161000,1,Apple,,
Johnson & Johnson,J&J,johnson.*johnson,0,0,152700,1,Johnson & Johnson,,
Dell,,\bemc\scorp|\bdell\b,0,0,133000,1,Dell,,Includes EMC
Thermo Fisher Scientific,,thermo fisher,0,0,130000,1,Thermo Fisher Scientific,,
Tesla,,tesla,0,0,127855,1,Tesla,,
Intel,,^intel\scorp,0,0,120300,1,Intel,,
Tech Mahindra,,mahindra|satyam,1,1,116331,1,Tech Mahindra,,
